epoch,train_loss,eval_loss,eval_prec1,eval_prec5
0,6.9141844511032104,6.907874633026123,0.1,0.496
1,5.659393668174744,6.908044637908936,0.1,0.5
2,4.4204185009002686,6.90932243927002,0.1,0.502
3,4.067199230194092,6.913955756530762,0.1,0.498
4,3.8619685769081116,6.9248853628540035,0.1,0.502
5,3.723689913749695,6.940958142700195,0.1,0.5
6,3.6222517490386963,6.960927165527344,0.102,0.5
7,3.5515376329421997,6.9851559846496585,0.1,0.5
8,3.4636958837509155,7.01396050567627,0.1,0.5
9,3.3974109292030334,7.0460042764282225,0.1,0.5
10,3.3613699078559875,7.081539895935059,0.1,0.5
11,3.3987407088279724,7.1204842485046385,0.1,0.5
12,3.357143223285675,7.160613350219727,0.1,0.502
13,3.3058852553367615,7.193115562133789,0.1,0.502
14,3.254820466041565,7.21682221206665,0.1,0.502
15,3.255643606185913,7.23445965713501,0.1,0.506
16,3.240620255470276,7.2415564350891115,0.1,0.5
17,3.2185845971107483,7.244555805816651,0.1,0.5
18,3.1642443537712097,7.235506243133545,0.1,0.506
19,3.2187103629112244,7.226293567504883,0.1,0.562
20,3.1368106603622437,7.216749080047608,0.1,0.54
21,3.13438081741333,7.2003977465820315,0.1,0.55
22,3.147235333919525,7.1849273417663575,0.1,0.574
23,3.131043314933777,7.157727893829346,0.102,0.68
24,3.072396457195282,7.105029739074707,0.11,0.8459999995803833
25,3.148325204849243,6.9866983454895015,0.1739999999666214,1.4440000010681153
26,3.072143316268921,6.7415908145141605,0.673999999885559,3.3079999926757813
27,3.0371689200401306,6.308704236297608,2.496000005340576,8.222000022277832
28,3.0547420978546143,5.689479819335937,6.78600000793457,17.89999998840332
29,2.9965611696243286,5.023499502258301,13.346000001831055,29.38199998413086
30,3.0684099793434143,4.386858538665772,20.46000000366211,40.826000024414064
31,2.994069516658783,3.818448919143677,27.88000001586914,51.12200003173828
32,3.0022714138031006,3.353938298416138,34.44200002685547,59.312
33,2.9841005206108093,2.975789408340454,40.03000006713867,65.60199989257812
34,3.044435143470764,2.6936528129577635,44.610000036621095,69.98799995117187
35,2.982260584831238,2.471766728515625,48.192000017089846,73.28599999267578
36,3.023610293865204,2.2994280661773683,50.92400002929688,75.79799990722657
37,2.9231956005096436,2.1610352196121214,53.41000001953125,77.64600002685548
38,3.0333763360977173,2.0429105476760863,55.3480000390625,79.2599999975586
39,2.9528436064720154,1.952825913772583,56.840000112304686,80.41599996826172
40,2.9354856610298157,1.8807051162338257,58.134000004882814,81.32000006835938
41,2.940191328525543,1.816700454864502,59.16799994873047,82.15200006835937
42,2.9455955028533936,1.7641931697845459,60.03199997314453,82.81400006835938
43,2.9633638858795166,1.7226486420822145,60.83800001953125,83.37799991210937
44,2.935397744178772,1.6884777408218383,61.48200001953125,83.79399993652343
45,2.9381229281425476,1.6589863154602051,61.980000068359374,84.11200009033203
46,2.91867458820343,1.6318229083633422,62.50600009277344,84.4919999609375
47,2.9180588126182556,1.6055508685684203,62.98200011474609,84.78400006347657
48,2.910248577594757,1.5792015391731262,63.48400000976562,85.17799995849609
49,2.9339587092399597,1.5551159433364867,63.874000061035154,85.50999993164062
50,2.887495279312134,1.5352688951873779,64.24199993164062,85.73199998291015
51,2.843971908092499,1.5181420810127257,64.62999995605469,85.98399990478515
52,2.881410539150238,1.501495276851654,65.01600003417968,86.20599995605468
53,2.898894429206848,1.4861285943984985,65.30000005859375,86.39000000732422
54,2.825599789619446,1.4732165990447998,65.52199998046875,86.52400005859376
55,2.904839813709259,1.460441884689331,65.77799998046875,86.67000013671876
56,2.8729679584503174,1.447863041419983,66.01799998046874,86.81800005859375
57,2.8677914142608643,1.4362715188980102,66.19000003173828,86.98600003173829
58,2.811103403568268,1.4260764647865296,66.44600003173828,87.13400005615235
